platform,filename,st_mode,st_mode in oct,classic proprieties,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_atime (yyyy-mm-dd hh:ii:ss),st_mtime,st_mtime (yyyy-mm-dd hh:ii:ss),st_ctime,st_ctime (yyyy-mm-dd hh:ii:ss)
Windows,.\.git\config,33206,0o100666,-rw-rw-rw-,1970324838915769,3693933532,1,0,0,329,1590224631.002183,b'2020-05-23 09:03:51',1590224631.002183,b'2020-05-23 09:03:51',1590224627.900712,b'2020-05-23 09:03:47'
Windows,.\.git\description,33206,0o100666,-rw-rw-rw-,1407374885494424,3693933532,1,0,0,73,1590224627.8478515,b'2020-05-23 09:03:47',1590224627.8478515,b'2020-05-23 09:03:47',1590224627.8478515,b'2020-05-23 09:03:47'
Windows,.\.git\HEAD,33206,0o100666,-rw-rw-rw-,844424932073251,3693933532,1,0,0,23,1590224630.9832327,b'2020-05-23 09:03:50',1590224630.9832327,b'2020-05-23 09:03:50',1590224627.8947303,b'2020-05-23 09:03:47'
Windows,.\.git\index,33206,0o100666,-rw-rw-rw-,844424932073257,3693933532,1,0,0,939,1590224631.1088967,b'2020-05-23 09:03:51',1590224631.1088967,b'2020-05-23 09:03:51',1590224631.070002,b'2020-05-23 09:03:51'
Windows,.\.git\ms-persist.xml,33206,0o100666,-rw-rw-rw-,17732923534770353,3693933532,1,0,0,167,1590255152.9257996,b'2020-05-23 17:32:32',1590255152.9257996,b'2020-05-23 17:32:32',1590255148.504084,b'2020-05-23 17:32:28'
Windows,.\.git\packed-refs,33206,0o100666,-rw-rw-rw-,1688849862205211,3693933532,1,0,0,346,1590224630.965282,b'2020-05-23 09:03:50',1590224630.965282,b'2020-05-23 09:03:50',1590224630.9632866,b'2020-05-23 09:03:50'
Windows,.\.git\hooks\applypatch-msg.sample,33206,0o100666,-rw-rw-rw-,1407374885494426,3693933532,1,0,0,478,1590224627.8508427,b'2020-05-23 09:03:47',1590224627.8508427,b'2020-05-23 09:03:47',1590224627.8498445,b'2020-05-23 09:03:47'
Windows,.\.git\hooks\commit-msg.sample,33206,0o100666,-rw-rw-rw-,1407374885494427,3693933532,1,0,0,896,1590224627.8518457,b'2020-05-23 09:03:47',1590224627.8518457,b'2020-05-23 09:03:47',1590224627.8518457,b'2020-05-23 09:03:47'
Windows,.\.git\hooks\fsmonitor-watchman.sample,33206,0o100666,-rw-rw-rw-,1407374885494428,3693933532,1,0,0,3079,1590224627.8538342,b'2020-05-23 09:03:47',1590224627.8538342,b'2020-05-23 09:03:47',1590224627.8538342,b'2020-05-23 09:03:47'
Windows,.\.git\hooks\post-update.sample,33206,0o100666,-rw-rw-rw-,1407374885494429,3693933532,1,0,0,189,1590224627.8558285,b'2020-05-23 09:03:47',1590224627.8558285,b'2020-05-23 09:03:47',1590224627.8548317,b'2020-05-23 09:03:47'
