filename,st_mode,st_mode in oct,classic proprieties,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_atime (yyyy-mm-dd hh:ii:ss),st_mtime,st_mtime (yyyy-mm-dd hh:ii:ss),st_ctime,st_ctime (yyyy-mm-dd hh:ii:ss)
.\.git\config,33206,0o100666,-rw-rw-rw-,3940649675707483,3693933532,1,0,0,329,1589480864.4015727,b'2020-05-14 18:27:44',1589480864.4015727,b'2020-05-14 18:27:44',1589480862.7002919,b'2020-05-14 18:27:42'
.\.git\description,33206,0o100666,-rw-rw-rw-,2251799815443432,3693933532,1,0,0,73,1589480862.68234,b'2020-05-14 18:27:42',1589480862.68234,b'2020-05-14 18:27:42',1589480862.68234,b'2020-05-14 18:27:42'
.\.git\HEAD,33206,0o100666,-rw-rw-rw-,2251799815443782,3693933532,1,0,0,23,1589480864.3945906,b'2020-05-14 18:27:44',1589480864.3945906,b'2020-05-14 18:27:44',1589480862.6992953,b'2020-05-14 18:27:42'
.\.git\index,33206,0o100666,-rw-rw-rw-,2251799815443801,3693933532,1,0,0,500,1589480864.4225159,b'2020-05-14 18:27:44',1589480864.4225159,b'2020-05-14 18:27:44',1589480864.4155354,b'2020-05-14 18:27:44'
.\.git\packed-refs,33206,0o100666,-rw-rw-rw-,2251799815443768,3693933532,1,0,0,288,1589480864.3866124,b'2020-05-14 18:27:44',1589480864.3866124,b'2020-05-14 18:27:44',1589480864.3866124,b'2020-05-14 18:27:44'
.\.git\hooks\applypatch-msg.sample,33206,0o100666,-rw-rw-rw-,2251799815443447,3693933532,1,0,0,478,1589480862.6833372,b'2020-05-14 18:27:42',1589480862.6833372,b'2020-05-14 18:27:42',1589480862.6833372,b'2020-05-14 18:27:42'
.\.git\hooks\commit-msg.sample,33206,0o100666,-rw-rw-rw-,2251799815443455,3693933532,1,0,0,896,1589480862.6873274,b'2020-05-14 18:27:42',1589480862.6873274,b'2020-05-14 18:27:42',1589480862.6863902,b'2020-05-14 18:27:42'
.\.git\hooks\fsmonitor-watchman.sample,33206,0o100666,-rw-rw-rw-,2251799815443458,3693933532,1,0,0,3079,1589480862.6883256,b'2020-05-14 18:27:42',1589480862.6883256,b'2020-05-14 18:27:42',1589480862.6883256,b'2020-05-14 18:27:42'
.\.git\hooks\post-update.sample,33206,0o100666,-rw-rw-rw-,2251799815443462,3693933532,1,0,0,189,1589480862.6893215,b'2020-05-14 18:27:42',1589480862.6893215,b'2020-05-14 18:27:42',1589480862.6893215,b'2020-05-14 18:27:42'
.\.git\hooks\pre-applypatch.sample,33206,0o100666,-rw-rw-rw-,2251799815443464,3693933532,1,0,0,424,1589480862.6903193,b'2020-05-14 18:27:42',1589480862.6903193,b'2020-05-14 18:27:42',1589480862.6903193,b'2020-05-14 18:27:42'
.\.git\hooks\pre-commit.sample,33206,0o100666,-rw-rw-rw-,2251799815443469,3693933532,1,0,0,1638,1589480862.691316,b'2020-05-14 18:27:42',1589480862.691316,b'2020-05-14 18:27:42',1589480862.691316,b'2020-05-14 18:27:42'
.\.git\hooks\pre-merge-commit.sample,33206,0o100666,-rw-rw-rw-,2251799815443471,3693933532,1,0,0,416,1589480862.6923141,b'2020-05-14 18:27:42',1589480862.6923141,b'2020-05-14 18:27:42',1589480862.6923141,b'2020-05-14 18:27:42'
.\.git\hooks\pre-push.sample,33206,0o100666,-rw-rw-rw-,2251799815443476,3693933532,1,0,0,1348,1589480862.6933136,b'2020-05-14 18:27:42',1589480862.6933136,b'2020-05-14 18:27:42',1589480862.6933136,b'2020-05-14 18:27:42'
.\.git\hooks\pre-rebase.sample,33206,0o100666,-rw-rw-rw-,2251799815443478,3693933532,1,0,0,4898,1589480862.694308,b'2020-05-14 18:27:42',1589480862.694308,b'2020-05-14 18:27:42',1589480862.6933136,b'2020-05-14 18:27:42'
.\.git\hooks\pre-receive.sample,33206,0o100666,-rw-rw-rw-,2251799815443482,3693933532,1,0,0,544,1589480862.694308,b'2020-05-14 18:27:42',1589480862.694308,b'2020-05-14 18:27:42',1589480862.694308,b'2020-05-14 18:27:42'
.\.git\hooks\prepare-commit-msg.sample,33206,0o100666,-rw-rw-rw-,2251799815443490,3693933532,1,0,0,1492,1589480862.695305,b'2020-05-14 18:27:42',1589480862.695305,b'2020-05-14 18:27:42',1589480862.695305,b'2020-05-14 18:27:42'
.\.git\hooks\update.sample,33206,0o100666,-rw-rw-rw-,2251799815443491,3693933532,1,0,0,3610,1589480862.6963024,b'2020-05-14 18:27:42',1589480862.6963024,b'2020-05-14 18:27:42',1589480862.6963024,b'2020-05-14 18:27:42'
