filename,st_mode,st_mode in oct,classic proprieties,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_atime (yyyy-mm-dd hh:ii:ss),st_mtime,st_mtime (yyyy-mm-dd hh:ii:ss),st_ctime,st_ctime (yyyy-mm-dd hh:ii:ss)
../.git/config,33279,0o100777,-rwxrwxrwx,3940649675707483,14,1,1000,1000,329,1589480864.4015727,b'2020-05-14 18:27:44',1589480864.4015727,b'2020-05-14 18:27:44',1589480874.2211661,b'2020-05-14 18:27:54'
../.git/description,33279,0o100777,-rwxrwxrwx,2251799815443432,14,1,1000,1000,73,1589480862.68234,b'2020-05-14 18:27:42',1589480862.68234,b'2020-05-14 18:27:42',1589480874.2032144,b'2020-05-14 18:27:54'
../.git/HEAD,33279,0o100777,-rwxrwxrwx,2251799815443782,14,1,1000,1000,23,1589480864.3945906,b'2020-05-14 18:27:44',1589480864.3945906,b'2020-05-14 18:27:44',1589480874.1832678,b'2020-05-14 18:27:54'
../.git/index,33279,0o100777,-rwxrwxrwx,2251799815443801,14,1,1000,1000,500,1589480864.4225159,b'2020-05-14 18:27:44',1589480864.4225159,b'2020-05-14 18:27:44',1589480874.2830012,b'2020-05-14 18:27:54'
../.git/packed-refs,33279,0o100777,-rwxrwxrwx,2251799815443768,14,1,1000,1000,288,1589480864.3866124,b'2020-05-14 18:27:44',1589480864.3866124,b'2020-05-14 18:27:44',1589480874.2680416,b'2020-05-14 18:27:54'
../.git/hooks/applypatch-msg.sample,33279,0o100777,-rwxrwxrwx,2251799815443447,14,1,1000,1000,478,1589480862.6833372,b'2020-05-14 18:27:42',1589480862.6833372,b'2020-05-14 18:27:42',1589480886.3458579,b'2020-05-14 18:28:06'
../.git/hooks/commit-msg.sample,33279,0o100777,-rwxrwxrwx,2251799815443455,14,1,1000,1000,896,1589480862.6873274,b'2020-05-14 18:27:42',1589480862.6873274,b'2020-05-14 18:27:42',1589480886.4226522,b'2020-05-14 18:28:06'
../.git/hooks/fsmonitor-watchman.sample,33279,0o100777,-rwxrwxrwx,2251799815443458,14,1,1000,1000,3079,1589480862.6883256,b'2020-05-14 18:27:42',1589480862.6883256,b'2020-05-14 18:27:42',1589480886.5164022,b'2020-05-14 18:28:06'
../.git/hooks/post-update.sample,33279,0o100777,-rwxrwxrwx,2251799815443462,14,1,1000,1000,189,1589480862.6893215,b'2020-05-14 18:27:42',1589480862.6893215,b'2020-05-14 18:27:42',1589480886.2381458,b'2020-05-14 18:28:06'
../.git/hooks/pre-applypatch.sample,33279,0o100777,-rwxrwxrwx,2251799815443464,14,1,1000,1000,424,1589480862.6903193,b'2020-05-14 18:27:42',1589480862.6903193,b'2020-05-14 18:27:42',1589480886.3927321,b'2020-05-14 18:28:06'
../.git/hooks/pre-commit.sample,33279,0o100777,-rwxrwxrwx,2251799815443469,14,1,1000,1000,1638,1589480862.691316,b'2020-05-14 18:27:42',1589480862.691316,b'2020-05-14 18:27:42',1589480886.4735172,b'2020-05-14 18:28:06'
../.git/hooks/pre-merge-commit.sample,33279,0o100777,-rwxrwxrwx,2251799815443471,14,1,1000,1000,416,1589480862.6923141,b'2020-05-14 18:27:42',1589480862.6923141,b'2020-05-14 18:27:42',1589480886.2132125,b'2020-05-14 18:28:06'
../.git/hooks/pre-push.sample,33279,0o100777,-rwxrwxrwx,2251799815443476,14,1,1000,1000,1348,1589480862.6933136,b'2020-05-14 18:27:42',1589480862.6933136,b'2020-05-14 18:27:42',1589480886.4495807,b'2020-05-14 18:28:06'
../.git/hooks/pre-rebase.sample,33279,0o100777,-rwxrwxrwx,2251799815443478,14,1,1000,1000,4898,1589480862.694308,b'2020-05-14 18:27:42',1589480862.694308,b'2020-05-14 18:27:42',1589480886.3697944,b'2020-05-14 18:28:06'
../.git/hooks/pre-receive.sample,33279,0o100777,-rwxrwxrwx,2251799815443482,14,1,1000,1000,544,1589480862.694308,b'2020-05-14 18:27:42',1589480862.694308,b'2020-05-14 18:27:42',1589480886.2900076,b'2020-05-14 18:28:06'
../.git/hooks/prepare-commit-msg.sample,33279,0o100777,-rwxrwxrwx,2251799815443490,14,1,1000,1000,1492,1589480862.695305,b'2020-05-14 18:27:42',1589480862.695305,b'2020-05-14 18:27:42',1589480886.2670693,b'2020-05-14 18:28:06'
../.git/hooks/update.sample,33279,0o100777,-rwxrwxrwx,2251799815443491,14,1,1000,1000,3610,1589480862.6963024,b'2020-05-14 18:27:42',1589480862.6963024,b'2020-05-14 18:27:42',1589480886.3179324,b'2020-05-14 18:28:06'
../.git/info/exclude,33279,0o100777,-rwxrwxrwx,2251799815443507,14,1,1000,1000,240,1589480862.697301,b'2020-05-14 18:27:42',1589480862.697301,b'2020-05-14 18:27:42',1589480886.1842983,b'2020-05-14 18:28:06'
../.git/logs/HEAD,33279,0o100777,-rwxrwxrwx,2251799815443788,14,1,1000,1000,201,1589480864.397583,b'2020-05-14 18:27:44',1589480864.397583,b'2020-05-14 18:27:44',1589480899.6754024,b'2020-05-14 18:28:19'
../.git/logs/refs/heads/master,33279,0o100777,-rwxrwxrwx,2251799815443799,14,1,1000,1000,201,1589480864.3985803,b'2020-05-14 18:27:44',1589480864.3985803,b'2020-05-14 18:27:44',1589480904.3571851,b'2020-05-14 18:28:24'
../.git/logs/refs/remotes/origin/HEAD,33279,0o100777,-rwxrwxrwx,2251799815443780,14,1,1000,1000,201,1589480864.3935935,b'2020-05-14 18:27:44',1589480864.3935935,b'2020-05-14 18:27:44',1589480910.0280647,b'2020-05-14 18:28:30'
../.git/objects/15/5981b7d0ea692b7a758894672501d13dddf04a,33133,0o100555,-r-xr-xr-x,2251799815443689,14,2,1000,1000,1042,1589480864.272917,b'2020-05-14 18:27:44',1589480864.272917,b'2020-05-14 18:27:44',1589480902.6358051,b'2020-05-14 18:28:22'
../.git/objects/24/952c1d482ee562d70c391abb8e8bc4031bddf1,33133,0o100555,-r-xr-xr-x,2251799815443669,14,2,1000,1000,53,1589480864.246025,b'2020-05-14 18:27:44',1589480864.246025,b'2020-05-14 18:27:44',1589480902.3825037,b'2020-05-14 18:28:22'
../.git/objects/34/f062c23da0022ace0cd6f554495973c8a89de8,33133,0o100555,-r-xr-xr-x,2251799815443630,14,2,1000,1000,55,1589480864.218063,b'2020-05-14 18:27:44',1589480864.218063,b'2020-05-14 18:27:44',1589480902.0124946,b'2020-05-14 18:28:22'
../.git/objects/51/0a277832c412712cc66737fc47c7e7223fbd1c,33133,0o100555,-r-xr-xr-x,2251799815443706,14,2,1000,1000,673,1589480864.276906,b'2020-05-14 18:27:44',1589480864.276906,b'2020-05-14 18:27:44',1589480902.6726701,b'2020-05-14 18:28:22'
../.git/objects/57/3c24cca2c2c477251ab10846ed408e8812ad8e,33133,0o100555,-r-xr-xr-x,2251799815443575,14,2,1000,1000,53,1589480864.1741805,b'2020-05-14 18:27:44',1589480864.1741805,b'2020-05-14 18:27:44',1589480902.6597054,b'2020-05-14 18:28:22'
../.git/objects/7d/ca7c1f07da7ab473fdbb31409a97175bd5d6b5,33133,0o100555,-r-xr-xr-x,2251799815443751,14,2,1000,1000,672,1589480864.328767,b'2020-05-14 18:27:44',1589480864.328767,b'2020-05-14 18:27:44',1589480901.8688781,b'2020-05-14 18:28:21'
